season,Away Win,Draw,Home Win,Home Win %,Away Win %,Draw %
2008/2009,110,97,173,45.526315789473685,28.947368421052634,25.526315789473685
2009/2010,91,96,193,50.78947368421053,23.94736842105263,25.263157894736842
2010/2011,90,111,179,47.10526315789474,23.684210526315788,29.210526315789476
2011/2012,116,93,171,45.0,30.526315789473685,24.47368421052632
2012/2013,106,108,166,43.684210526315795,27.89473684210526,28.421052631578945
2013/2014,123,78,179,47.10526315789474,32.36842105263158,20.526315789473685
2014/2015,115,93,172,45.26315789473684,30.263157894736842,24.47368421052632
2015/2016,116,107,157,41.31578947368421,30.526315789473685,28.157894736842103
